TaskID,JobID,DateStarted,DateCompleted,SquareFeet,EstHours,EstLaborCost,EstMaterialCost
110,16885,12/10/2014,12/11/2014,95,6,75,25
110,32687,7/31/2014,7/31/2014,100,8,88,0
130,16885,12/12/2014,12/16/2014,160,22,280,360
130,32687,8/4/2014,8/4/2014,100,7,113,95
130,55841,7/15/2013,7/15/2013,94,8,83,83
130,55873,8/14/2013,8/15/2013,94,8,110,83
130,55878,9/12/2013,9/12/2013,94,8,110,83
140,16885,11/24/2014,11/28/2014,32,10,240,10
140,78431,11/17/2014,12/15/2014,160,24,575,50
150,16885,12/16/2014,12/16/2014,160,5,61,250
150,32687,8/4/2014,8/7/2014,100,3,50,110
150,55841,7/16/2013,7/16/2013,94,4,45,110
150,55873,8/16/2013,8/16/2013,94,4,45,110
150,55878,9/16/2013,9/16/2013,94,4,45,110
150,62254,10/14/2014,10/24/2014,990,20,270,790
150,62257,10/30/2014,11/3/2014,990,20,270,790
150,91584,3/31/2014,4/2/2014,1240,33,450,300
160,16885,12/17/2014,NULL,160,18,230,1530
160,32687,8/11/2014,8/14/2014,100,10,180,13550
160,55841,7/18/2013,7/19/2013,94,11,170,240
160,55873,8/19/2013,8/20/2013,94,11,170,240
160,55878,9/19/2013,9/20/2013,94,11,170,240
160,62254,10/16/2014,10/30/2014,990,65,1040,1897
160,62257,11/3/2014,11/7/2014,990,65,1040,1897
160,91584,4/7/2014,4/11/2014,1274,72,1200,11590
170,16885,12/28/2014,NULL,300,33,450,40
170,32687,8/18/2014,8/18/2014,100,6,90,12
170,55841,7/22/2013,7/22/2013,94,10,140,9
170,55873,8/26/2013,8/26/2013,94,10,140,9
170,55878,9/24/2013,9/24/2013,94,10,140,9
170,62254,10/21/2014,10/31/2014,990,40,540,120
170,62257,11/7/2014,11/12/2014,990,40,540,120
170,91584,4/14/2014,4/14/2014,1274,16,216,150
180,16885,1/19/2015,NULL,160,17,180,25
180,32687,8/22/2014,8/22/2014,100,4,60,10
180,55841,7/29/2013,7/29/2013,94,5,58,13
180,55873,9/2/2013,9/2/2013,94,5,58,13
180,55878,9/30/2013,9/30/2013,94,5,53,13
180,62254,10/30/2014,11/3/2014,990,33,446,125
180,62257,11/13/2014,11/18/2014,990,33,446,125
180,91584,4/18/2014,4/21/2014,1274,8,108,175
190,78431,1/19/2015,NULL,160,4,64,0
200,78431,1/12/2015,NULL,160,8,128,175
230,91584,4/3/2014,4/4/2014,34,16,265,400
240,16885,12/22/2014,NULL,140,16,252,1625
260,16885,1/5/2015,NULL,32,16,384,110
260,78431,12/22/2014,NULL,160,40,960,1460
270,16885,12/8/2014,12/10/2014,112,8,100,0
