POID,DatePurchased,Quantity,CostPerUOM,MaterialID
10475,10/21/2014,125,0.93,1150
23769,8/18/2014,13,0.99,1150
24325,8/4/2014,1,10.6,1010
35182,4/1/2014,1300,8.95,1080
35874,7/10/2013,45,1,2000
36751,4/1/2014,40,0.99,1150
40800,10/6/2014,150,10.25,1110
41911,8/4/2014,8,10.75,1110
44342,3/17/2013,313,1,2000
48035,11/6/2014,125,0.93,1150
50075,4/1/2014,7,24,1170
57713,12/11/2014,160,12.14,1080
58707,7/9/2013,2,10.5,1010
58836,7/15/2013,2,23.5,1170
60169,8/2/2014,1,210,1060
62263,12/5/2014,180,8.15,1090
63241,7/9/2013,20,10.5,1140
63572,8/20/2014,15,19.95,1170
65120,8/4/2014,120,115,1080
67046,4/1/2014,163,0.95,1150
68203,8/4/2014,1,12.95,1020
71055,4/1/2014,7,13,1010
75697,7/9/2013,2,12.8,1020
81478,10/6/2014,12,10.75,1020
82408,10/6/2014,12,11.09,1010
83268,7/9/2013,2,199.95,1060
90090,4/1/2014,45,9.55,1080
91343,10/7/2014,2100,1.75,1070
92573,7/15/2013,320,2.09,1070
94515,1/1/2014,500,1,2000
94696,12/29/2014,48,10.78,1090
95998,12/12/2014,8,12.25,1110
96900,12/22/2014,40,1.15,1150
97277,12/11/2014,180,9.88,1080
